Content_ID,Platform,Content_Type,AI_Tool_Used,AI_Type,Duration_Seconds,Production_Cost_USD,Views,Likes,Comments,Shares,Engagement_Rate,Watch_Time_Avg_Sec,Retention_Rate,Revenue_USD
ACC000043,YouTube,Short,Synthesia,AI-assisted editing,56,30.98,12522,368,43.0,38.0,0.0359,24.97,50.8,29.45
ACC000044,TikTok,Reel,Canva AI,Text-to-video,43,8.93,18878,1197,39.0,237.0,0.08,28.21,68.91,10.52
ACC000045,TikTok,Reel,Pika,Text-to-video,39,13.89,1596,76,8.0,43.0,0.0627,31.61,84.14,2.19
ACC000046,Instagram,Video,Pika,Text-to-video,75,19.34,14897,502,29.0,62.0,0.0398,23.72,35.97,11.62
ACC000047,Instagram,Video,InVideo AI,Image-to-video,127,19.93,7501,269,33.0,32.0,0.0445,57.88,44.75,2.77
ACC000048,TikTok,Short,Canva AI,Image-to-video,40,9.24,9108,330,67.0,40.0,0.048,32.43,80.84,8.32
ACC000049,YouTube,Short,Runway,Text-to-video,137,32.54,10745,237,39.0,23.0,0.0271,70.28,52.24,24.15
ACC000050,YouTube,Short,Canva AI,Avatar video,54,11.86,5153,135,14.0,43.0,0.0305,24.43,54.23,18.81
ACC000051,TikTok,Reel,HeyGen,Avatar video,53,20.52,12107,453,29.0,89.0,0.0472,14.83,31.18,5.15
ACC000052,YouTube,Video,InVideo AI,Image-to-video,336,32.08,1997,72,5.0,8.0,0.0426,95.08,32.61,20.07
ACC000053,Instagram,Video,Synthesia,Avatar video,747,83.04,4512,273,16.0,32.0,0.0711,263.06,46.34,1.41
ACC000054,YouTube,Video,InVideo AI,Text-to-video,587,58.04,18377,420,39.0,60.0,0.03,215.42,41.49,112.86
ACC000055,YouTube,Short,CapCut AI,AI-assisted editing,40,13.56,70919,2260,128.0,43.0,0.0362,18.19,52.03,273.02
ACC000056,YouTube,Video,CapCut AI,Text-to-video,794,70.38,4600,172,16.0,7.0,0.0424,382.56,60.12,35.85
ACC000057,TikTok,Short,Canva AI,Text-to-video,38,7.73,131411,8528,763.0,1494.0,0.0821,29.53,83.82,95.88
ACC000058,YouTube,Short,HeyGen,Avatar video,24,29.57,2997,106,9.0,8.0,0.041,15.4,61.75,5.88
ACC000059,Instagram,Short,CapCut AI,Text-to-video,79,16.78,4146,198,39.0,18.0,0.0543,46.76,60.28,4.71
ACC000060,Instagram,Video,Canva AI,Text-to-video,131,17.84,3833,127,24.0,43.0,0.0464,74.06,60.14,1.29
ACC000061,YouTube,Short,InVideo AI,Text-to-video,15,11.2,3304,134,16.0,5.0,0.0469,9.57,76.07,13.12
ACC000062,TikTok,Short,CapCut AI,Avatar video,26,8.0,17358,994,71.0,153.0,0.0702,16.6,65.59,11.31
ACC000063,YouTube,Short,Pika,Text-to-video,42,21.12,8572,389,15.0,33.0,0.051,27.49,71.52,3.71
ACC000064,Instagram,Reel,InVideo AI,Image-to-video,51,15.53,23463,889,39.0,166.0,0.048,27.15,53.01,33.07
ACC000065,YouTube,Video,InVideo AI,Image-to-video,377,41.4,4658,246,14.0,43.0,0.0584,118.14,38.97,45.45
ACC000066,Instagram,Video,CapCut AI,AI-assisted editing,229,26.09,5151,332,17.0,16.0,0.0709,148.88,64.37,2.11
ACC000067,Instagram,Video,InVideo AI,AI-assisted editing,435,49.05,3873,180,20.0,15.0,0.0555,179.79,48.46,5.16
ACC000068,YouTube,Video,HeyGen,Avatar video,635,67.83,11614,432,54.0,39.0,0.0452,280.54,56.53,22.95
ACC000069,YouTube,Short,Runway,Text-to-video,46,26.24,37746,2042,39.0,138.0,0.0613,29.41,74.59,79.31
ACC000070,YouTube,Short,CapCut AI,AI-assisted editing,29,12.96,1695,86,3.0,43.0,0.0555,18.13,65.75,7.47
ACC000071,YouTube,Short,Pika,AI-assisted editing,41,20.12,3801,211,19.0,7.0,0.0624,28.52,68.27,10.16
ACC000072,TikTok,Short,Synthesia,Avatar video,50,37.84,5999,280,19.0,57.0,0.0593,26.23,63.49,0.72
ACC000073,Instagram,Reel,CapCut AI,Text-to-video,48,16.2,14413,744,78.0,80.0,0.0626,28.61,70.45,15.6
ACC000074,Instagram,Reel,Adobe Firefly,AI-assisted editing,81,19.08,34148,1160,39.0,176.0,0.0442,68.85,82.05,25.47
ACC000075,YouTube,Video,Pika,Image-to-video,622,62.63,7518,290,26.0,43.0,0.0458,148.53,30.58,62.96
ACC000076,Instagram,Reel,HeyGen,AI-assisted editing,67,22.87,10308,508,50.0,48.0,0.0588,43.65,76.05,19.15
ACC000077,YouTube,Video,Runway,Text-to-video,817,81.04,8140,287,44.0,35.0,0.045,328.64,46.55,90.49
ACC000078,YouTube,Short,CapCut AI,Image-to-video,48,10.22,9896,329,40.0,16.0,0.0389,26.66,62.62,13.13
ACC000079,TikTok,Short,CapCut AI,AI-assisted editing,56,12.29,19994,1033,39.0,228.0,0.0653,38.42,71.78,12.42
ACC000080,YouTube,Video,Runway,Image-to-video,446,48.64,2805,135,11.0,43.0,0.0535,161.18,47.29,8.84
ACC000081,TikTok,Short,Pika,Image-to-video,43,13.48,4444,231,12.0,42.0,0.0641,22.34,53.98,3.49
ACC000082,YouTube,Video,HeyGen,Avatar video,68,32.68,38082,1185,85.0,109.0,0.0362,41.09,69.75,108.78
ACC000083,TikTok,Short,CapCut AI,AI-assisted editing,34,15.73,16393,1180,73.0,74.0,0.0809,21.09,75.19,8.56
ACC000084,Instagram,Video,Canva AI,AI-assisted editing,151,18.01,5039,164,39.0,35.0,0.0452,54.05,44.2,8.02
ACC000085,YouTube,Video,CapCut AI,Text-to-video,855,73.76,3628,101,15.0,43.0,0.0356,457.29,57.7,12.19
ACC000086,Instagram,Video,HeyGen,Avatar video,654,57.73,8007,470,46.0,50.0,0.0707,261.68,50.6,2.21
ACC000087,TikTok,Reel,Canva AI,Avatar video,60,9.69,11075,872,29.0,125.0,0.0926,38.41,62.44,9.96
ACC000088,TikTok,Reel,CapCut AI,AI-assisted editing,20,4.75,17746,1049,54.0,72.0,0.0662,11.98,70.92,22.52
ACC000089,YouTube,Short,CapCut AI,Text-to-video,314,30.86,6637,223,39.0,16.0,0.0416,30.12,10.0,57.27
ACC000090,YouTube,Short,Runway,Text-to-video,55,18.77,14873,354,67.0,43.0,0.0325,34.42,69.98,45.95
ACC000091,TikTok,Short,CapCut AI,AI-assisted editing,31,6.73,8626,618,63.0,108.0,0.0915,17.95,55.72,1.91
ACC000092,TikTok,Reel,Runway,Text-to-video,42,15.51,5215,398,26.0,43.0,0.0895,34.77,83.01,4.09
ACC000093,TikTok,Short,CapCut AI,Text-to-video,23,12.19,22818,1302,101.0,220.0,0.0711,8.48,42.03,15.46
ACC000094,YouTube,Short,Pika,Text-to-video,42,20.01,24638,897,39.0,93.0,0.0451,22.83,57.78,52.15
ACC000095,YouTube,Video,Canva AI,Text-to-video,317,35.01,12230,310,25.0,43.0,0.0291,128.22,46.42,84.27
ACC000096,Instagram,Reel,InVideo AI,Text-to-video,72,23.41,9491,443,34.0,27.0,0.0531,26.15,41.56,7.02
ACC000097,YouTube,Short,Canva AI,Text-to-video,30,11.81,127441,4768,552.0,534.0,0.0459,13.64,55.15,163.66
ACC000098,YouTube,Short,Runway,Text-to-video,31,23.83,22742,527,119.0,65.0,0.0313,20.63,70.16,68.02
ACC000099,TikTok,Short,Synthesia,Avatar video,34,23.15,16455,1425,39.0,136.0,0.0975,24.82,77.51,22.79
ACC000100,TikTok,Reel,Canva AI,Text-to-video,64,13.98,4460,301,28.0,43.0,0.0839,35.55,61.73,0.7
ACC000101,TikTok,Short,Canva AI,AI-assisted editing,56,9.94,1331,112,3.0,7.0,0.0917,36.3,64.19,1.67
ACC000102,YouTube,Short,CapCut AI,AI-assisted editing,46,10.93,17205,880,33.0,58.0,0.0564,25.92,63.64,63.27
ACC000103,TikTok,Reel,Adobe Firefly,AI-assisted editing,64,18.33,20349,1563,75.0,86.0,0.0847,41.67,70.63,13.43
ACC000104,Instagram,Reel,CapCut AI,Image-to-video,25,8.9,8702,320,34.0,45.0,0.0459,18.23,73.34,15.98
ACC000105,TikTok,Reel,Pika,AI-assisted editing,22,21.98,3718,261,27.0,17.0,0.082,15.31,72.06,4.15
ACC000106,YouTube,Video,Pika,Image-to-video,431,43.78,10236,554,33.0,38.0,0.0611,204.49,52.43,72.26
ACC000107,YouTube,Short,Pika,Text-to-video,59,21.03,59505,1696,257.0,208.0,0.0363,49.12,78.56,72.64
ACC000108,YouTube,Video,HeyGen,AI-assisted editing,516,77.32,15394,619,45.0,34.0,0.0453,170.22,41.62,137.78
ACC000109,TikTok,Short,Canva AI,Avatar video,19,12.84,4951,261,26.0,38.0,0.0656,12.18,60.69,1.33
ACC000110,Instagram,Reel,Synthesia,AI-assisted editing,76,14.25,9243,419,54.0,67.0,0.0584,43.76,59.15,4.5
ACC000111,Instagram,Video,CapCut AI,AI-assisted editing,188,20.67,6266,204,17.0,52.0,0.0436,63.27,40.84,8.19
ACC000112,TikTok,Short,CapCut AI,Text-to-video,49,14.24,31526,2501,166.0,347.0,0.0956,32.38,79.92,5.02
ACC000113,TikTok,Reel,CapCut AI,AI-assisted editing,68,12.93,52498,3585,203.0,300.0,0.0779,41.81,60.65,32.96
ACC000114,TikTok,Short,Runway,Text-to-video,41,23.73,3859,283,26.0,47.0,0.0923,28.39,81.33,2.24
ACC000115,TikTok,Reel,Pika,Text-to-video,72,19.79,6738,450,24.0,76.0,0.0816,42.84,69.32,3.54
ACC000116,TikTok,Reel,Pika,Text-to-video,80,10.55,12028,657,56.0,68.0,0.0649,52.96,68.96,1.96
ACC000117,YouTube,Short,Synthesia,Avatar video,18,8.3,63120,2133,216.0,195.0,0.0403,11.73,75.18,168.42
ACC000118,YouTube,Short,Canva AI,Text-to-video,51,10.56,46383,2264,147.0,199.0,0.0563,28.91,56.62,56.41
ACC000119,TikTok,Short,Runway,Text-to-video,33,23.18,7238,484,49.0,64.0,0.0825,14.61,47.02,5.52
ACC000120,TikTok,Reel,HeyGen,Avatar video,57,16.64,24501,1785,146.0,91.0,0.0825,15.05,28.27,33.25
ACC000121,Instagram,Reel,Adobe Firefly,Image-to-video,36,9.59,25849,1763,77.0,154.0,0.0771,21.2,59.61,13.0
ACC000122,TikTok,Reel,Runway,Image-to-video,67,14.7,8766,639,53.0,72.0,0.0872,40.15,62.78,12.25
ACC000123,TikTok,Reel,Synthesia,Avatar video,83,23.05,64342,4399,385.0,582.0,0.0834,53.16,73.95,27.05
ACC000124,TikTok,Short,InVideo AI,AI-assisted editing,30,11.75,11657,744,85.0,117.0,0.0812,11.31,42.42,9.86
ACC000125,TikTok,Reel,Canva AI,AI-assisted editing,33,9.13,21205,1215,77.0,166.0,0.0688,21.25,74.16,16.97
ACC000126,Instagram,Video,Runway,Image-to-video,661,71.02,14084,563,33.0,62.0,0.0467,266.04,45.86,19.86
ACC000127,YouTube,Video,HeyGen,AI-assisted editing,548,60.76,18283,797,101.0,28.0,0.0506,213.9,43.13,130.16
ACC000128,TikTok,Short,InVideo AI,Text-to-video,23,13.8,1416,114,5.0,5.0,0.0876,12.6,61.46,1.25
ACC000129,Instagram,Video,Synthesia,AI-assisted editing,617,54.85,1803,75,10.0,8.0,0.0516,223.11,38.17,2.43
ACC000130,TikTok,Short,Adobe Firefly,Image-to-video,48,17.27,20473,1132,93.0,132.0,0.0663,24.12,54.84,4.59
ACC000131,Instagram,Video,Synthesia,Avatar video,328,40.57,3406,193,15.0,13.0,0.0649,140.93,50.72,2.0
ACC000132,TikTok,Reel,Synthesia,Avatar video,79,39.29,53889,3671,394.0,368.0,0.0823,34.07,49.4,72.46
ACC000133,TikTok,Reel,Adobe Firefly,Image-to-video,68,16.99,112386,8811,715.0,1089.0,0.0945,21.92,33.48,126.27
ACC000134,TikTok,Reel,Runway,Image-to-video,22,26.22,4012,168,27.0,30.0,0.0561,7.87,36.39,4.14
ACC000135,TikTok,Reel,Canva AI,Image-to-video,80,10.68,16452,821,38.0,95.0,0.058,47.37,72.14,6.31
ACC000136,YouTube,Short,Synthesia,Avatar video,15,23.63,6144,293,35.0,20.0,0.0566,8.41,60.88,27.47
ACC000137,YouTube,Short,Synthesia,Text-to-video,54,26.96,24374,1358,82.0,40.0,0.0607,32.87,57.7,93.18
ACC000138,TikTok,Reel,HeyGen,Text-to-video,69,13.47,6232,300,45.0,62.0,0.0653,33.79,57.8,7.18
ACC000139,YouTube,Video,Pika,Text-to-video,669,73.99,8503,398,29.0,17.0,0.0522,245.57,45.39,89.87
ACC000140,YouTube,Short,Pika,AI-assisted editing,48,15.06,18689,589,43.0,63.0,0.0372,33.59,80.15,30.5
ACC000141,YouTube,Video,CapCut AI,Image-to-video,568,55.9,8755,344,40.0,22.0,0.0464,213.35,45.2,30.04
ACC000142,TikTok,Short,Canva AI,Image-to-video,57,13.24,3320,185,16.0,23.0,0.0675,37.82,75.3,1.76
ACC000143,YouTube,Short,Canva AI,Text-to-video,58,12.02,7090,158,14.0,27.0,0.0281,32.89,59.0,22.35
ACC000144,YouTube,Video,Canva AI,Image-to-video,76,13.46,28417,1347,158.0,99.0,0.0564,35.41,49.57,160.97
ACC000145,YouTube,Short,Canva AI,Image-to-video,46,9.43,1548,57,7.0,5.0,0.0446,24.6,53.33,2.65
ACC000146,YouTube,Short,HeyGen,Avatar video,26,24.0,15061,695,45.0,28.0,0.051,13.76,60.47,41.21
ACC000147,YouTube,Short,Pika,AI-assisted editing,58,15.06,1589,60,8.0,4.0,0.0453,28.45,50.36,1.02
ACC000148,YouTube,Video,InVideo AI,Image-to-video,843,80.53,7544,198,20.0,20.0,0.0315,273.01,42.26,61.83
ACC000149,Instagram,Video,CapCut AI,Text-to-video,605,55.99,6413,485,12.0,47.0,0.0848,233.49,41.41,10.53
ACC000150,Instagram,Reel,InVideo AI,Image-to-video,45,16.28,25287,1210,91.0,124.0,0.0564,33.97,78.99,50.12
ACC000151,YouTube,Video,CapCut AI,AI-assisted editing,838,77.84,4096,177,19.0,6.0,0.0493,364.13,44.42,33.88
ACC000152,YouTube,Video,InVideo AI,AI-assisted editing,296,36.54,20014,452,41.0,85.0,0.0289,192.33,65.45,148.44
ACC000153,YouTube,Short,Runway,Text-to-video,21,19.82,10006,267,27.0,39.0,0.0333,7.84,40.89,40.78
ACC000154,YouTube,Video,Canva AI,AI-assisted editing,141,11.65,1648,82,5.0,6.0,0.0564,59.45,41.84,9.34
ACC000155,Instagram,Reel,CapCut AI,AI-assisted editing,72,11.14,45799,2813,224.0,134.0,0.0692,44.47,63.77,74.49
ACC000156,TikTok,Short,Pika,Text-to-video,52,20.92,9292,788,43.0,96.0,0.0998,32.7,74.47,1.98
ACC000157,TikTok,Reel,Runway,Text-to-video,85,31.89,7406,363,32.0,31.0,0.0575,64.68,73.43,9.46
ACC000158,Instagram,Reel,Adobe Firefly,Text-to-video,49,16.99,3212,157,13.0,9.0,0.0557,33.86,78.49,1.95
ACC000159,TikTok,Short,HeyGen,Avatar video,12,29.53,34627,1770,140.0,378.0,0.0661,7.27,59.02,47.32
ACC000160,YouTube,Short,CapCut AI,AI-assisted editing,42,8.52,37603,1704,143.0,117.0,0.0522,35.51,96.28,73.02
ACC000161,Instagram,Video,Synthesia,AI-assisted editing,265,33.84,11594,864,46.0,79.0,0.0853,77.66,33.75,7.99
ACC000162,TikTok,Reel,Adobe Firefly,Text-to-video,53,19.63,69606,2580,528.0,547.0,0.0525,40.55,83.5,52.8
ACC000163,Instagram,Video,CapCut AI,AI-assisted editing,429,40.79,35820,1219,108.0,234.0,0.0436,71.8,21.06,45.97
ACC000164,TikTok,Reel,InVideo AI,Text-to-video,70,17.98,1837,116,10.0,10.0,0.074,42.63,66.94,1.29
ACC000165,TikTok,Short,Synthesia,Avatar video,18,17.0,22156,1149,143.0,182.0,0.0665,15.16,93.23,5.03
ACC000166,TikTok,Reel,Synthesia,Avatar video,29,28.67,12851,658,58.0,99.0,0.0634,19.01,64.82,11.81
ACC000167,YouTube,Short,HeyGen,Text-to-video,24,16.17,3348,163,13.0,12.0,0.0562,15.4,67.62,6.36
ACC000168,YouTube,Video,Pika,AI-assisted editing,601,66.23,4452,111,14.0,12.0,0.0308,190.49,39.79,38.17
ACC000169,Instagram,Reel,Adobe Firefly,Text-to-video,45,17.46,23822,1164,60.0,114.0,0.0562,27.77,71.37,31.58
ACC000170,TikTok,Short,CapCut AI,Image-to-video,20,11.67,55453,4732,269.0,292.0,0.0955,16.02,87.82,46.03
ACC000171,TikTok,Reel,Adobe Firefly,Text-to-video,71,18.5,7391,462,23.0,56.0,0.0732,44.94,63.41,8.1
ACC000172,TikTok,Short,CapCut AI,Text-to-video,46,12.87,27669,2419,77.0,305.0,0.1012,23.47,51.01,13.48
ACC000173,Instagram,Video,Pika,AI-assisted editing,150,11.47,10815,732,49.0,49.0,0.0767,79.58,56.33,14.28
ACC000174,YouTube,Video,Canva AI,AI-assisted editing,885,79.92,2769,89,13.0,6.0,0.039,335.18,46.06,29.1
ACC000175,Instagram,Reel,Runway,Image-to-video,67,40.55,24864,1749,75.0,170.0,0.0802,28.4,41.61,38.76
ACC000176,TikTok,Reel,Runway,Image-to-video,68,21.67,107661,5938,678.0,1057.0,0.0713,46.9,66.92,74.4
ACC000177,TikTok,Short,Canva AI,AI-assisted editing,17,8.04,18746,683,96.0,102.0,0.047,7.47,47.61,7.04
ACC000178,YouTube,Short,Synthesia,Avatar video,48,31.24,806,41,1.0,1.0,0.0533,17.44,43.26,2.52
ACC000179,TikTok,Short,HeyGen,Avatar video,56,26.75,7092,465,35.0,53.0,0.078,22.18,48.18,3.88
ACC000180,YouTube,Short,Adobe Firefly,Image-to-video,26,10.77,4476,232,10.0,16.0,0.0576,20.35,78.2,4.23
ACC000181,Instagram,Reel,Runway,Image-to-video,36,11.5,15660,760,78.0,121.0,0.0612,21.56,71.24,5.26
ACC000182,TikTok,Reel,Synthesia,Avatar video,32,22.7,4093,297,15.0,49.0,0.0882,21.99,83.14,4.92
ACC000183,Instagram,Reel,CapCut AI,Avatar video,65,12.94,11969,631,55.0,68.0,0.063,46.27,67.5,23.65
ACC000184,Instagram,Reel,HeyGen,Text-to-video,68,19.7,4422,135,9.0,32.0,0.0398,50.51,78.88,5.81
ACC000185,TikTok,Reel,HeyGen,Avatar video,83,24.33,5023,327,32.0,47.0,0.0808,49.42,61.11,2.53
ACC000186,TikTok,Short,Runway,Text-to-video,39,27.59,16796,565,50.0,60.0,0.0402,27.78,75.83,9.25
ACC000187,TikTok,Reel,Pika,Text-to-video,49,17.66,33916,1920,172.0,199.0,0.0675,28.93,56.02,31.06
ACC000188,TikTok,Reel,Runway,AI-assisted editing,36,17.62,2443,177,8.0,19.0,0.0835,21.21,70.94,2.98
ACC000189,YouTube,Short,Synthesia,AI-assisted editing,23,34.39,34679,1627,121.0,79.0,0.0527,10.88,51.42,116.28
ACC000190,YouTube,Video,CapCut AI,Text-to-video,750,69.44,5545,280,17.0,16.0,0.0564,212.33,37.64,20.0
ACC000191,TikTok,Reel,Adobe Firefly,Text-to-video,62,14.83,21617,1783,137.0,123.0,0.0945,27.56,54.11,13.68
ACC000192,YouTube,Short,CapCut AI,AI-assisted editing,12,9.1,72201,3353,157.0,214.0,0.0516,6.61,62.77,174.53
ACC000193,YouTube,Video,Adobe Firefly,Text-to-video,298,43.92,10113,557,21.0,15.0,0.0586,77.9,33.26,102.24
ACC000194,YouTube,Video,HeyGen,AI-assisted editing,303,42.35,18841,944,58.0,51.0,0.0559,159.18,64.61,214.93
ACC000195,YouTube,Video,Runway,Text-to-video,538,59.79,2195,80,8.0,8.0,0.0437,198.32,47.6,21.91
ACC000196,YouTube,Video,Pika,AI-assisted editing,212,34.07,3702,165,10.0,16.0,0.0516,75.43,46.92,21.27
ACC000197,TikTok,Short,Runway,Text-to-video,20,21.22,22466,986,99.0,218.0,0.058,13.89,66.45,4.7
ACC000198,TikTok,Short,Runway,Text-to-video,53,19.14,8938,521,28.0,77.0,0.07,35.34,65.56,5.48
ACC000199,YouTube,Short,Pika,Text-to-video,23,15.01,2535,107,11.0,7.0,0.0493,18.52,78.03,5.99
ACC000200,YouTube,Short,Runway,Text-to-video,45,21.71,13047,448,61.0,36.0,0.0418,44.43,98.0,23.62
ACC000201,TikTok,Reel,HeyGen,Avatar video,55,24.86,25367,1965,121.0,171.0,0.089,32.24,61.04,10.21
ACC000202,YouTube,Video,CapCut AI,Text-to-video,896,80.85,362,20,0.0,0.0,0.0552,172.56,23.04,3.35
ACC000203,YouTube,Video,Adobe Firefly,Text-to-video,642,60.14,20432,650,77.0,31.0,0.0371,187.81,35.99,77.59
ACC000204,TikTok,Short,Synthesia,Avatar video,20,19.24,18198,711,92.0,124.0,0.0509,11.79,70.37,18.49
ACC000205,TikTok,Short,Synthesia,Avatar video,22,20.93,19262,971,116.0,165.0,0.065,10.93,48.09,17.29
ACC000206,YouTube,Video,Synthesia,Text-to-video,362,56.84,49675,2725,133.0,153.0,0.0606,202.98,55.91,147.87
ACC000207,TikTok,Short,Synthesia,Avatar video,52,26.43,32640,2668,152.0,193.0,0.0923,27.0,59.02,6.14
ACC000208,YouTube,Video,Adobe Firefly,Text-to-video,509,54.21,20668,707,83.0,32.0,0.0398,47.2,10.54,218.51
ACC000209,TikTok,Short,Pika,Text-to-video,14,13.92,4884,357,25.0,57.0,0.0899,8.82,74.78,4.26
ACC000210,TikTok,Reel,Adobe Firefly,Text-to-video,36,13.5,3846,333,17.0,32.0,0.0993,20.14,53.67,3.09
ACC000211,TikTok,Reel,Pika,Text-to-video,88,15.62,18268,700,61.0,170.0,0.051,53.83,58.01,13.07
ACC000212,YouTube,Short,HeyGen,AI-assisted editing,28,32.35,8068,243,29.0,16.0,0.0357,17.96,72.51,5.27
ACC000213,TikTok,Short,Runway,Text-to-video,46,12.6,7347,398,37.0,90.0,0.0715,34.03,75.11,9.68
ACC000214,TikTok,Short,HeyGen,Avatar video,57,36.34,12930,1125,39.0,156.0,0.1021,35.4,66.94,17.25
ACC000215,YouTube,Video,Canva AI,Text-to-video,494,49.79,1455,46,6.0,5.0,0.0392,193.35,50.6,10.68
ACC000216,TikTok,Reel,CapCut AI,AI-assisted editing,16,10.17,12922,720,39.0,114.0,0.0676,7.05,43.96,17.08
